icao,iata,name,city,country,lat,lon
KGRR,GRR,Gerald R. Ford International Airport,Grand Rapids,US,42.880798,-85.522797
KGSO,GSO,Piedmont Triad International Airport,Greensboro,US,36.09937,-79.937262
KGSP,GSP,Greenville-Spartanburg International Airport,Greenville/Greer/Spartanburg,US,34.895699,-82.218903
PAGS,GST,Gustavus Airport,Gustavus,US,58.4253006,-135.7070007
KGTF,GTF,Great Falls International Airport,Great Falls,US,47.481998,-111.371002
KGTR,GTR,Golden Triangle Regional Airport,Columbus/W Point/Starkville,US,33.450298,-88.5914
KGUC,GUC,Gunnison Crested Butte Regional Airport,Gunnison,US,38.534672,-106.934566
KGUP,GUP,Gallup Municipal Airport,Gallup,US,35.511653,-108.788166
KGYY,GYY,Gary/Chicago International Airport,Gary,US,41.617087,-87.413206
PAHC,HCR,Holy Cross Airport,Holy Cross,US,62.18830108642578,-159.77499389648438
KHDN,HDN,Yampa Valley Airport,Hayden,US,40.481201,-107.218002
KHGR,HGR,Hagerstown Regional Richard A Henson Field,Hagerstown,US,39.708771,-77.728014
KHXD,HHH,Hilton Head Airport,Hilton Head Island,US,32.2244,-80.697502
KHHR,HHR,Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,US,33.922798,-118.334999
KHIB,HIB,Range Regional Airport,Hibbing,US,47.384831,-92.836905
KHII,HII,Lake Havasu City Airport,Lake Havasu City,US,34.570506,-114.357745
KHLN,HLN,Helena Regional Airport,Helena,US,46.6068,-111.983002
PAOH,HNH,Hoonah Airport,Hoonah,US,58.0961,-135.410111
PHNL,HNL,Daniel K. Inouye International Airport,"Honolulu, Oahu",US,21.318387,-157.92567
PHHN,HNM,Hana Airport,Hana,US,20.795601,-156.014008
PAHN,HNS,Haines Airport,Haines,US,59.243921,-135.523925
KHOB,HOB,Lea County Regional Airport,Hobbs,US,32.6875,-103.217003
PAHO,HOM,Homer Airport,Homer,US,59.644456,-151.479235
KHOT,HOT,Memorial Field Airport,Hot Springs,US,34.4788,-93.096262
KHOU,HOU,William P. Hobby Airport,Houston,US,29.645336,-95.276812
PAHP,HPB,Hooper Bay Airport,Hooper Bay,US,61.523899,-166.147003
KHPN,HPN,Westchester County Airport,White Plains,US,41.06700134277344,-73.70760345458984
KHRL,HRL,Valley International Airport,Harlingen,US,26.228500366210938,-97.65440368652344
KHRO,HRO,Boone County Airport,Harrison,US,36.26150131225586,-93.15470123291016
PAHL,HSL,Huslia Airport,Huslia,US,65.697899,-156.350998
KHSV,HSV,Huntsville International Airport,Huntsville,US,34.636244,-86.774378
KHTS,HTS,Tri-State Airport / Milton J. Ferguson Field,Huntington,US,38.366699,-82.557999
PAHU,HUS,Hughes Airport,Hughes,US,66.04109955,-154.2630005
KHVN,HVN,Tweed New Haven Airport,New Haven,US,41.262869,-72.887694
KHVR,HVR,Havre City County Airport,Havre,US,48.541387,-109.762859
KHYA,HYA,Cape Cod Gateway Airport,Hyannis,US,41.6693,-70.280403
PAHY,HYG,Hydaburg Seaplane Base,Hydaburg,US,55.205227,-132.830286
KHYS,HYS,Hays Regional Airport,Hays,US,38.844521,-99.273148
KIAD,IAD,Washington Dulles International Airport,Dulles,US,38.9445,-77.455803
KIAG,IAG,Niagara Falls International Airport,Niagara Falls,US,43.1073,-78.946198
KIAH,IAH,George Bush Intercontinental Airport,Houston,US,29.9844,-95.3414
PAIK,IAN,Bob Baker Memorial Airport,Kiana,US,66.976128,-160.439014
KICT,ICT,Wichita Dwight D. Eisenhower National Airport,Wichita,US,37.650314,-97.428583
KIDA,IDA,Idaho Falls Regional Airport,Idaho Falls,US,43.514599,-112.070999
PAIG,IGG,Igiugig Airport,Igiugig,US,59.324001,-155.901993
PAKO,IKO,Nikolski Air Station,Nikolski,US,52.941552,-168.849478
KILG,ILG,Wilmington Airport,Wilmington,US,39.678699,-75.606499
PAIL,ILI,Iliamna Airport,Iliamna,US,59.754398,-154.910996
KILM,ILM,Wilmington International Airport,Wilmington,US,34.272345,-77.905117
KIMT,IMT,Ford Airport,Kingsford,US,45.81911,-88.114557
KIND,IND,Indianapolis International Airport,Indianapolis,US,39.7173,-86.294403
KINL,INL,Falls International Airport,International Falls,US,48.566200256347656,-93.4030990600586
KIPL,IPL,Imperial County Airport,Imperial,US,32.83539,-115.574026
KIPT,IPT,Williamsport Regional Airport,Williamsport,US,41.242126,-76.92245
PACR,IRC,Circle City (New) Airport,Circle,US,65.827673,-144.076195
KIRK,IRK,Kirksville Regional Airport,Kirksville,US,40.09349822998047,-92.5448989868164
KISP,ISP,Long Island MacArthur Airport,Islip,US,40.796324,-73.101703
KITH,ITH,Ithaca Tompkins Regional Airport,Ithaca,US,42.49100112915039,-76.4583969116211
PHTO,ITO,Hilo International Airport,Hilo,US,19.72135,-155.045428
KIWD,IWD,Gogebic Iron County Airport,Ironwood,US,46.525298,-90.131578
KJAC,JAC,Jackson Hole Airport,Jackson,US,43.6073,-110.737999
KJAN,JAN,Jackson-Medgar Wiley Evers International Airport,Jackson,US,32.311199,-90.075897
KJAX,JAX,Jacksonville International Airport,Jacksonville,US,30.492469,-81.687813
KJBR,JBR,Jonesboro Municipal Airport,Jonesboro,US,35.83169937133789,-90.64640045166016
KJFK,JFK,John F. Kennedy International Airport,New York,US,40.639447,-73.779317
PHJH,JHM,Kapalua Airport,Lahaina,US,20.9629,-156.673004
KJLN,JLN,Joplin Regional Airport,Joplin,US,37.151798,-94.498299
KJMS,JMS,Jamestown Regional Airport,Jamestown,US,46.92969894,-98.67819977
PAJN,JNU,Juneau International Airport,Juneau,US,58.354935,-134.574416
KJST,JST,John Murtha Johnstown Cambria County Airport,Johnstown,US,40.31610107421875,-78.83390045166016
PAKV,KAL,Kaltag Airport,Kaltag,US,64.31864,-158.74197
PAKC,KCC,Coffman Cove Seaplane Base,Coffman Cove,US,56.012586,-132.835093
PAJC,KCG,Chignik Airport,Chignik,US,56.311501,-158.373001
PAKF,KFP,False Pass Airport,False Pass,US,54.84751,-163.407168
PAJZ,KGK,Koliganek Airport,Koliganek,US,59.726600647,-157.259002686
PAGX,KGX,Grayling Airport,Grayling,US,62.895187,-160.066289
PAKK,KKA,Koyuk Alfred Adams Airport,Koyuk,US,64.939499,-161.154007
PADY,KKH,Kongiganak Airport,Kongiganak,US,59.9608,-162.880997
PFZK,KKI,Akiachak Airport,Akiachak,US,60.913809,-161.493329
PALG,KLG,Kalskag Airport,Kalskag,US,61.53630065917969,-160.34100341796875
PALB,KLN,Larsen Bay Airport,Larsen Bay,US,57.53516,-153.976455
PAKW,KLW,Klawock Airport,Klawock,US,55.579201,-133.076004
PAMB,KMO,Manokotak Airport,Manokotak,US,58.932056,-158.901886
PFKK,KNK,Kokhanok Airport,Kokhanok,US,59.433248,-154.80217
PANW,KNW,New Stuyahok Airport,New Stuyahok,US,59.451838,-157.373829
PHKO,KOA,Ellison Onizuka Kona International Airport at Keāhole,Kailua-Kona,US,19.738783,-156.045603
PFKO,KOT,Kotlik Airport,Kotlik,US,63.030602,-163.533005
PAKI,KPN,Kipnuk Airport,Kipnuk,US,59.931796,-164.028196
PAPE,KPV,Perryville Airport,Perryville,US,55.9065,-159.16091
PAUT,KQA,Akutan Airport,Akutan,US,54.14459,-165.604332
PASM,KSM,St Mary's Airport,St Mary's,US,62.060501,-163.302002
PAKT,KTN,Ketchikan International Airport,Ketchikan,US,55.35559845,-131.7140045
PFKT,KTS,Brevig Mission Airport,Brevig Mission,US,65.331826,-166.467848
PFKA,KUK,Kasigluk Airport,Kasigluk,US,60.872747,-162.5247
PAVC,KVC,King Cove Airport,King Cove,US,55.116299,-162.266006
PAVL,KVL,Kivalina Airport,Kivalina,US,67.734565,-164.559917
PAGG,KWK,Kwigillingok Airport,Kwigillingok,US,59.876499,-163.169005
PAQH,KWN,Quinhagak Airport,Quinhagak,US,59.7551,-161.845
PFKW,KWT,Kwethluk Airport,Kwethluk,US,60.790298,-161.444
PAKY,KYK,Karluk Airport,Karluk,US,57.565919,-154.453762
PFKU,KYU,Koyukuk Airport,Koyukuk,US,64.876099,-157.727005
KLAF,LAF,Purdue University Airport,West Lafayette,US,40.412875,-86.939363
KLAL,LAL,Lakeland Linder International Airport,Lakeland,US,27.989267,-82.020715
KLAN,LAN,Capital Region International Airport,Lansing,US,42.777582,-84.585721
KLAR,LAR,Laramie Regional Airport,Laramie,US,41.31209945678711,-105.67500305175781
KLAS,LAS,Harry Reid International Airport,Las Vegas,US,36.083361,-115.151817
KLAW,LAW,Lawton Fort Sill Regional Airport,Lawton,US,34.567699,-98.416603
KLAX,LAX,Los Angeles International Airport,Los Angeles,US,33.942501,-118.407997
KLBB,LBB,Lubbock Preston Smith International Airport,Lubbock,US,33.663601,-101.822998
KLBE,LBE,Arnold Palmer Regional Airport,Latrobe,US,40.275902,-79.4048
KLBF,LBF,North Platte Regional Airport Lee Bird Field,North Platte,US,41.12620163,-100.6839981
KLBL,LBL,Liberal Mid-America Regional Airport,Liberal,US,37.0442009,-100.9599991
KLCH,LCH,Lake Charles Regional Airport,Lake Charles,US,30.126100540161133,-93.22329711914062
KLCK,LCK,Rickenbacker International Airport,Columbus,US,39.813801,-82.927803
KLEB,LEB,Lebanon Municipal Airport,Lebanon,US,43.626098632799994,-72.30419921880001
KLEX,LEX,Blue Grass Airport,Lexington,US,38.035066,-84.606738
KLFT,LFT,Lafayette Regional Airport,Lafayette,US,30.205299,-91.987602
KLGA,LGA,LaGuardia Airport,New York,US,40.777199,-73.872597
KLGB,LGB,Long Beach International Airport,Long Beach,US,33.816523,-118.149891
PHLI,LIH,Lihue Airport,"Lihue, Kauai",US,21.974393,-159.337146
KLIT,LIT,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,US,34.729222,-92.223591
PAMH,LMA,Minchumina Airport,Minchumina,US,63.886002,-152.302002
KLNK,LNK,Lincoln Airport,Lincoln,US,40.844882,-96.76178
KLNS,LNS,Lancaster Airport,Lancaster,US,40.121700286865234,-76.29609680175781
PHNY,LNY,Lanai Airport,Lanai City,US,20.785675,-156.951324
KLRD,LRD,Laredo International Airport,Laredo,US,27.5438,-99.461601
KLRU,LRU,Las Cruces International Airport,Las Cruces,US,32.289398,-106.921997
KLSE,LSE,La Crosse Regional Airport,La Crosse,US,43.879002,-91.256699
KLUK,LUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,US,39.102357,-84.418945
PHLU,LUP,Kalaupapa Airport,Kalaupapa,US,21.211,-156.973999
PALU,LUR,Cape Lisburne LRRS Airport,Cape Lisburne,US,68.875099,-166.110001
KLWB,LWB,Greenbrier Valley Airport,Lewisburg,US,37.857914,-80.400438
KLWS,LWS,Lewiston Nez Perce County Airport,Lewiston,US,46.3745002746582,-117.01499938964844
KLYH,LYH,Lynchburg Regional Airport - Preston Glenn Field,Lynchburg,US,37.326698,-79.200401
KMAF,MAF,Midland International Air and Space Port,Midland,US,31.942499,-102.202003
KMBL,MBL,Manistee County Blacker Airport,Manistee,US,44.272707,-86.246495
KMBS,MBS,MBS International Airport,Freeland,US,43.533181,-84.083104
KMCE,MCE,Merced Regional Macready Field,Merced,US,37.284698,-120.514
PAMC,MCG,McGrath Airport,McGrath,US,62.95289993,-155.6060028
KMCI,MCI,Kansas City International Airport,Kansas City,US,39.301699,-94.713893
KMCK,MCK,McCook Ben Nelson Regional Airport,McCook,US,40.207787,-100.592794
KMCN,MCN,Middle Georgia Regional Airport,Macon,US,32.69279861450195,-83.64920043945312
KMCO,MCO,Orlando International Airport,Orlando,US,28.429399490356445,-81.30899810791016
KMCW,MCW,Mason City Municipal Airport,Mason City,US,43.159801,-93.329716
KMDT,MDT,Harrisburg International Airport,Harrisburg,US,40.192838,-76.762333
KMDW,MDW,Chicago Midway International Airport,Chicago,US,41.785999,-87.752403
KMEI,MEI,Key Field / Meridian Regional Airport,Meridian,US,32.3326,-88.7519
KMEM,MEM,Frederick W. Smith International Airport,Memphis,US,35.043845,-89.97634
KMFE,MFE,McAllen Miller International Airport,McAllen,US,26.176141,-98.237965
KMFR,MFR,Rogue Valley International-Medford Airport,Medford,US,42.374199,-122.873001
KMGC,MGC,Michigan City Municipal Airport,Michigan City,US,41.7033,-86.821198
KMGM,MGM,Montgomery Regional (Dannelly Field) Airport,Montgomery,US,32.300598,-86.393997
KMGW,MGW,Morgantown Municipal Airport Walter L. (Bill) Hart Field,Morgantown,US,39.643305,-79.917598
KMHK,MHK,Manhattan Regional Airport,Manhattan,US,39.14099884033203,-96.6707992553711
KMHT,MHT,Manchester-Boston Regional Airport,Manchester,US,42.932598,-71.435699
KMIA,MIA,Miami International Airport,Miami,US,25.796011,-80.289751
KMKE,MKE,General Mitchell International Airport,Milwaukee,US,42.947201,-87.896599
KMKG,MKG,Muskegon County Airport,Muskegon,US,43.169498,-86.238197
PHMK,MKK,Molokai Airport,Kaunakakai,US,21.152901,-157.095993
KMKL,MKL,McKellar-Sipes Regional Airport,Jackson,US,35.599899,-88.915604
KMLB,MLB,Melbourne Orlando International Airport,Melbourne,US,28.102009,-80.641088
KMLI,MLI,Quad City International Airport,Moline,US,41.448502,-90.5075
PADM,MLL,Marshall Don Hunter Sr Airport,Marshall,US,61.8643,-162.026001
KMLU,MLU,Monroe Regional Airport,Monroe,US,32.510899,-92.037697
PAML,MLY,Manley Hot Springs Airport,Manley Hot Springs,US,64.99188,-150.644102
KMMH,MMH,Mammoth Yosemite Airport,Mammoth Lakes,US,37.625381,-118.84306
KMOB,MOB,Mobile Regional Airport,Mobile,US,30.6912,-88.242798
KMOT,MOT,Minot International Airport,Minot,US,48.25801,-101.279123
PAMO,MOU,Mountain Village Airport,Mountain Village,US,62.095401763916016,-163.6820068359375
KSAW,MQT,Marquette/Sawyer International Airport,Gwinn,US,46.351498,-87.395884
PAMR,MRI,Merrill Field,Anchorage,US,61.212792,-149.843988
KMRY,MRY,Monterey Regional Airport,Monterey,US,36.586777,-121.844183
KMSL,MSL,Northwest Alabama Regional Airport,Muscle Shoals,US,34.745123,-87.612981
KMSN,MSN,Dane County Regional Truax Field,Madison,US,43.1399,-89.337502
KMSO,MSO,Missoula Montana Airport,Missoula,US,46.915816,-114.091107
KMSP,MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,Minneapolis,US,44.880081,-93.221741
KMSS,MSS,Massena International Airport Richards Field,Massena,US,44.936157,-74.844304
KMSY,MSY,Louis Armstrong New Orleans International Airport,New Orleans,US,29.993401,-90.264673
KMTJ,MTJ,Montrose Regional Airport,Montrose,US,38.5098,-107.893997
PAMM,MTM,Metlakatla Seaplane Base,Metlakatla,US,55.131001,-131.578003
KMTP,MTP,Montauk Airport,Montauk,US,41.0765,-71.920797
PHMU,MUE,Waimea Kohala Airport,Waimea (Kamuela),US,20.001301,-155.667999
KMVY,MVY,Martha's Vineyard Airport,Martha's Vineyard,US,41.3931007385,-70.6143035889
KMWA,MWA,Veterans Airport of Southern Illinois,Marion,US,37.751208,-89.016568
KMWL,MWL,Mineral Wells Regional Airport,Mineral Wells,US,32.781601,-98.060204
KMYL,MYL,McCall Municipal Airport,McCall,US,44.888837,-116.101112
KMYR,MYR,Myrtle Beach International Airport,Myrtle Beach,US,33.679699,-78.928299
PAMY,MYU,Mekoryuk Airport,Mekoryuk,US,60.372338,-166.269751
PFCB,NCN,Chenega Bay Airport,Chenega,US,60.077602,-147.99468
PAFS,NIB,Nikolai Airport,Nikolai,US,63.017949,-154.360399
PAOU,NLG,Nelson Lagoon Airport,Nelson Lagoon,US,56.0075,-161.160004
PAGT,NME,Nightmute Airport,Nightmute,US,60.469129,-164.70407
KUUU,NPT,Newport State Airport,Newport,US,41.532207,-71.281039
PAQT,NUI,Nuiqsut Airport,Nuiqsut,US,70.209999,-151.005998
PANU,NUL,Nulato Airport,Nulato,US,64.729301,-158.074005
PPIT,NUP,Nunapitchuk Airport,Nunapitchuk,US,60.905591,-162.440454
KOAJ,OAJ,Albert J Ellis Airport,Richlands,US,34.829201,-77.612099
KOAK,OAK,Oakland San Francisco Bay Airport,Oakland,US,37.720085,-122.221184
PAOB,OBU,Kobuk Airport,Kobuk,US,66.9123,-156.897003
KOXB,OCE,Ocean City Municipal Airport,Ocean City,US,38.310398,-75.124001
KOGD,OGD,Ogden Hinckley Airport,Ogden,US,41.195899963379,-112.0120010376
PHOG,OGG,Kahului International Airport,Kahului,US,20.896263,-156.431837
KOGS,OGS,Ogdensburg International Airport,Ogdensburg,US,44.6819,-75.4655
KOKC,OKC,OKC Will Rogers World Airport,Oklahoma City,US,35.393388,-97.598248
KOLF,OLF,L M Clayton Airport,Wolf Point,US,48.094501,-105.574997
KOLM,OLM,Olympia Regional Airport,Olympia,US,46.969399,-122.903
KOMA,OMA,Eppley Airfield,Omaha,US,41.3032,-95.894096
PAOM,OME,Nome Airport,Nome,US,64.51219940185547,-165.44500732421875
KONT,ONT,Ontario International Airport,Ontario,US,34.056,-117.600998
PAOO,OOK,Toksook Bay Airport,Toksook Bay,US,60.541401,-165.087006
KOPF,OPF,Miami-Opa Locka Executive Airport,Miami,US,25.907,-80.278397
KORD,ORD,Chicago O'Hare International Airport,Chicago,US,41.9786,-87.9048
KORF,ORF,Norfolk International Airport,Norfolk,US,36.895341,-76.201
KORH,ORH,Worcester Regional Airport,Worcester,US,42.2673,-71.875702
PAOR,ORT,Northway Airport,Northway,US,62.9613,-141.929001
PFNO,ORV,Robert (Bob) Curtis Memorial Airport,Noorvik,US,66.817902,-161.018997
KOTH,OTH,Southwest Oregon Regional Airport,North Bend,US,43.41709899902344,-124.24600219726562
PAOT,OTZ,Ralph Wien Memorial Airport,Kotzebue,US,66.88469696,-162.598999
KOWB,OWB,Owensboro Daviess County Airport,Owensboro,US,37.74010086,-87.16680145
KPAE,PAE,Seattle Paine Field International Airport,Everett,US,47.9063,-122.281998
KPAH,PAH,Barkley Regional Airport,Paducah,US,37.06079864501953,-88.7738037109375
KPBG,PBG,Plattsburgh International Airport,Plattsburgh,US,44.650902,-73.468102
KPDK,PDK,DeKalb Peachtree Airport,Atlanta,US,33.87633,-84.30213
KPDT,PDT,Eastern Oregon Regional Airport at Pendleton,Pendleton,US,45.695099,-118.841003
KPDX,PDX,Portland International Airport,Portland,US,45.588699,-122.598
KPGA,PGA,Page Municipal Airport,Page,US,36.924234,-111.447716
KPGD,PGD,Punta Gorda Airport,Punta Gorda,US,26.9202,-81.990501
KPGV,PGV,Pitt-Greenville Airport,Greenville,US,35.635535,-77.384262
KPHF,PHF,Newport News Williamsburg International Airport,Newport News,US,37.131901,-76.492996
KPHL,PHL,Philadelphia International Airport,Philadelphia,US,39.871899,-75.241096
PAPO,PHO,Point Hope Airport,Point Hope,US,68.348801,-166.798996
KPHX,PHX,Phoenix Sky Harbor International Airport,Phoenix,US,33.435302,-112.005905
KPIA,PIA,General Wayne A. Downing Peoria International Airport,Peoria,US,40.663841,-89.692631
KPIB,PIB,Hattiesburg Laurel Regional Airport,Moselle,US,31.4671,-89.337097
KPIE,PIE,St. Petersburg Clearwater International Airport,Pinellas Park,US,27.9102,-82.687401
KPIH,PIH,Pocatello Regional Airport,Pocatello,US,42.9098014831543,-112.59600067138672
PAPN,PIP,Pilot Point Airport,Pilot Point,US,57.580399,-157.572006
KPIR,PIR,Pierre Regional Airport,Pierre,US,44.38270187,-100.2860031
KPIT,PIT,Pittsburgh International Airport,Pittsburgh,US,40.491501,-80.232903
PPIZ,PIZ,Point Lay LRRS Airport,Point Lay,US,69.732903,-163.005005
PAPK,PKA,Napaskiak Airport,Napaskiak,US,60.7029,-161.778
KPKB,PKB,Mid Ohio Valley Regional Airport,Parkersburg (Williamstown),US,39.3451,-81.439201
KPLN,PLN,Pellston Regional Airport of Emmet County Airport,Pellston,US,45.57089996,-84.79669952
KPNS,PNS,Pensacola International Airport,Pensacola,US,30.472718,-87.186639
KPQI,PQI,Presque Isle International Airport,Presque Isle,US,46.688999,-68.0448
KPRC,PRC,Prescott Regional Airport - Ernest A. Love Field,Prescott,US,34.653502,-112.419883
KPSC,PSC,Tri Cities Airport,Pasco,US,46.264702,-119.119003
PAPG,PSG,Petersburg James A Johnson Airport,Petersburg,US,56.80170059,-132.9450073
KPSM,PSM,Portsmouth International Airport at Pease,Portsmouth,US,43.0779,-70.823303
KPSP,PSP,Palm Springs International Airport,Palm Springs,US,33.8297,-116.507004
PALJ,PTA,Port Alsworth Airport,Port Alsworth,US,60.201681,-154.325863
PAAP,PTD,Port Alexander Seaplane Base,Port Alexander,US,56.246799,-134.647995
PAPH,PTH,Port Heiden Airport,Port Heiden,US,56.957893,-158.630219
PAPM,PTU,Platinum Airport,Platinum,US,59.017675,-161.827927
KPUB,PUB,Pueblo Memorial Airport,Pueblo,US,38.289101,-104.497002
KPUW,PUW,Pullman-Moscow Regional Airport,Pullman,US,46.741601,-117.11163
KPVD,PVD,Rhode Island T. F. Green International Airport,Providence/Warwick,US,41.725038,-71.425668
KPVU,PVU,Provo Municipal Airport,Provo,US,40.218894,-111.722445
KPWM,PWM,Portland International Jetport,Portland,US,43.646198,-70.309303
KRAP,RAP,Rapid City Regional Airport,Rapid City,US,44.0452995300293,-103.05699920654297
PARY,RBY,Ruby Airport,Ruby,US,64.727203,-155.470001
KRDD,RDD,Redding Municipal Airport,Redding,US,40.50899887,-122.2929993
KRDM,RDM,Roberts Field,Redmond,US,44.254101,-121.150002
KRDU,RDU,Raleigh-Durham International Airport,Raleigh/Durham,US,35.878659,-78.7873
KRFD,RFD,Chicago Rockford International Airport,Chicago/Rockford,US,42.1954,-89.097198
KRHI,RHI,Rhinelander Oneida County Airport,Rhinelander,US,45.63119888305664,-89.46749877929688
KRIC,RIC,Richmond International Airport,Richmond,US,37.505199,-77.319702
KRIW,RIW,Central Wyoming Regional Airport,Riverton,US,43.064201,-108.459999
KRKD,RKD,Knox County Regional Airport,Rockland,US,44.060101,-69.099197
KRKS,RKS,Southwest Wyoming Regional Airport,Rock Springs,US,41.5942,-109.065001
PFMP,RMP,Rampart Airport,Rampart,US,65.507896,-150.141007
KRNO,RNO,Reno Tahoe International Airport,Reno,US,39.4991,-119.767998
KROA,ROA,Roanoke–Blacksburg Regional Airport,Roanoke,US,37.3255,-79.975403
KROC,ROC,Frederick Douglass Greater Rochester International Airport,Rochester,US,43.1189,-77.672401
KROW,ROW,Roswell Air Center Airport,Roswell,US,33.301601,-104.530998
PARS,RSH,Russian Mission Airport,Russian Mission,US,61.775071,-161.319466
KRST,RST,Rochester International Airport,Rochester,US,43.908298,-92.5
KRSW,RSW,Southwest Florida International Airport,Fort Myers,US,26.534685,-81.752816
KRUT,RUT,Rutland - Southern Vermont Regional Airport,Rutland,US,43.5294,-72.9496
KSAF,SAF,Santa Fe Municipal Airport,Santa Fe,US,35.6171,-106.088997
KSAN,SAN,San Diego International Airport,San Diego,US,32.733601,-117.190002
KSAT,SAT,San Antonio International Airport,San Antonio,US,29.533701,-98.469803
